Date(UTC),Julian Date,TS,Photon Flux [0.1-100 GeV](photons cm-2 s-1),Photon Flux Error(photons cm-2 s-1)
Aug 08 2008,2454687,138.65,2.67e-07,4e-08
Aug 15 2008,2454694,138.6,2.44e-07,3.6e-08
Aug 22 2008,2454701,333.76,4.48e-07,4.5e-08
Aug 29 2008,2454708,384.34,3.81e-07,3.7e-08
Sep 05 2008,2454715,193.45,2.84e-07,3.6e-08
Sep 12 2008,2454722,188.5,3.01e-07,3.7e-08
Sep 19 2008,2454729,73.51,1.69e-07,3.3e-08
Sep 26 2008,2454736,89.62,2.36e-07,4e-08
Oct 03 2008,2454743,40.44,1.73e-07,4.2e-08
Oct 10 2008,2454750,296.3,4.78e-07,5e-08
Oct 17 2008,2454757,152.69,2.56e-07,3.4e-08
Oct 24 2008,2454764,221.2,3.12e-07,3.6e-08
Oct 31 2008,2454771,224.68,2.73e-07,3.4e-08
Nov 07 2008,2454777,309.52,4.26e-07,4.2e-08
Nov 14 2008,2454784,730.35,7.95e-07,5.4e-08
Nov 21 2008,2454791,1413.98,1.46e-06,8e-08
Nov 28 2008,2454798,2043.95,1.8e-06,8e-08
Dec 05 2008,2454806,2203.99,1.54e-06,7e-08
Dec 12 2008,2454813,1211.96,9.92e-07,5.7e-08
Dec 19 2008,2454820,1737.66,1.22e-06,6e-08
Dec 26 2008,2454827,957.48,8.93e-07,5.5e-08
Jan 02 2009,2454833,584.95,5.94e-07,4.6e-08
Jan 09 2009,2454840,665.97,6.98e-07,5.3e-08
Jan 16 2009,2454847,782.81,9.18e-07,6.4e-08
Jan 23 2009,2454854,763.52,8.9e-07,6.1e-08
Jan 30 2009,2454861,1072.56,9.06e-07,5.6e-08
Feb 06 2009,2454868,1380.8,1.03e-06,5.6e-08
Feb 13 2009,2454875,1199.97,9.89e-07,5.7e-08
Feb 20 2009,2454882,2522.08,1.69e-06,7e-08
Feb 27 2009,2454889,1375.52,1.12e-06,6e-08
Mar 06 2009,2454898,847.55,8.95e-07,6.1e-08
Mar 13 2009,2454905,59.74,2.04e-07,4.9e-08
Mar 20 2009,2454912,152.96,2.7e-07,3.8e-08
Mar 27 2009,2454919,111.4,2.28e-07,3.6e-08
Apr 03 2009,2454926,159.5,2.34e-07,3.3e-08
Apr 10 2009,2454933,139.78,2.42e-07,3.5e-08
Apr 17 2009,2454940,118.94,2.06e-07,3.4e-08
Apr 24 2009,2454947,155.93,2.58e-07,3.6e-08
May 01 2009,2454954,116.99,2.89e-07,4.6e-08
May 08 2009,2454961,67.12,2.23e-07,4.5e-08
May 15 2009,2454968,26.98,1.05e-07,3.12e-08
May 22 2009,2454975,310.88,3.75e-07,3.9e-08
May 29 2009,2454982,163.27,2.42e-07,3.1e-08
Jun 05 2009,2454988,82.54,1.8e-07,3e-08
Jun 12 2009,2454995,231.39,3.44e-07,3.8e-08
Jun 19 2009,2455002,174.81,3.13e-07,4.1e-08
Jun 26 2009,2455009,208.69,4.02e-07,4.9e-08
Jul 03 2009,2455017,732.36,8.57e-07,6e-08
Jul 10 2009,2455024,884.09,8.57e-07,5.6e-08
Jul 17 2009,2455031,326.09,4.16e-07,4.1e-08
Jul 24 2009,2455038,803.01,7.65e-07,5.1e-08
Jul 31 2009,2455045,1467.47,1.25e-06,7e-08
Aug 07 2009,2455051,821.22,8.71e-07,5.9e-08
Aug 14 2009,2455058,471.9,7.06e-07,6.1e-08
Aug 21 2009,2455065,535.31,7.66e-07,6.4e-08
Aug 28 2009,2455072,536.39,7.29e-07,5.9e-08
Sep 04 2009,2455079,599.54,7.92e-07,6.2e-08
Sep 11 2009,2455086,936.81,9.15e-07,5.9e-08
Sep 18 2009,2455093,369.64,4.87e-07,4.6e-08
Sep 25 2009,2455100,194.81,4.24e-07,5.3e-08
Oct 02 2009,2455107,179.61,5.73e-07,7.1e-08
Oct 09 2009,2455114,390.58,9e-07,9e-08
Oct 16 2009,2455121,304.56,6.57e-07,6.7e-08
Oct 23 2009,2455128,174.84,4.3e-07,5.7e-08
Oct 30 2009,2455135,228.63,4.31e-07,4.8e-08
Nov 06 2009,2455142,173.71,3.4e-07,4.1e-08
Nov 13 2009,2455149,145.58,2.76e-07,3.9e-08
Nov 20 2009,2455156,212.1,4.18e-07,4.9e-08
Nov 27 2009,2455163,205.75,5.08e-07,6.2e-08
Dec 04 2009,2455170,234.56,5.79e-07,6.9e-08
Dec 11 2009,2455177,139.37,4.35e-07,6.2e-08
Dec 18 2009,2455184,118.32,3.38e-07,5.3e-08
Dec 25 2009,2455191,261.63,4.19e-07,4.6e-08
Jan 01 2010,2455197,120.04,2.38e-07,3.7e-08
Jan 08 2010,2455204,57.5,1.79e-07,3.8e-08
Jan 15 2010,2455211,111.72,3.55e-07,5.4e-08
Jan 22 2010,2455218,78.41,2.47e-07,4.9e-08
Jan 29 2010,2455225,84.53,2.53e-07,5e-08
Feb 05 2010,2455232,114.09,3.64e-07,5.8e-08
Feb 12 2010,2455239,127.45,3.1e-07,4.4e-08
Feb 19 2010,2455246,136.3,2.71e-07,3.9e-08
Feb 26 2010,2455253,84.68,2.1e-07,3.4e-08
Mar 05 2010,2455262,108.13,3.1e-07,4.6e-08
Mar 12 2010,2455269,83.39,2.59e-07,5e-08
Mar 19 2010,2455276,97.59,3.03e-07,5e-08
Mar 26 2010,2455283,95.52,3.08e-07,5.3e-08
Apr 02 2010,2455290,61.71,2.69e-07,5.1e-08
Apr 09 2010,2455297,65.23,2.08e-07,4.2e-08
Apr 16 2010,2455304,61.87,1.43e-07,2.9e-08
Apr 23 2010,2455311,30.11,1.22e-07,3.25e-08
Apr 30 2010,2455318,24.99,8.98e-08,2.79e-08
May 07 2010,2455325,12.5,7.82e-08,3.24e-08
May 14 2010,2455332,32.91,1.16e-07,3.24e-08
May 21 2010,2455339,28.06,1.02e-07,3.02e-08
May 28 2010,2455346,22.44,9.41e-08,2.86e-08
Jun 04 2010,2455353,28.5,1e-07,2.8e-08
Jun 11 2010,2455360,76.97,1.59e-07,2.9e-08
Jun 18 2010,2455367,24.38,8.73e-08,2.69e-08
Jun 25 2010,2455374,27.63,1.16e-07,3.3e-08
Jul 02 2010,2455381,31.99,1.14e-07,3.35e-08
Jul 09 2010,2455388,43.65,1.43e-07,4.1e-08
Jul 16 2010,2455395,33.21,1.12e-07,3.08e-08
Jul 23 2010,2455402,39.7,1.15e-07,2.85e-08
Jul 30 2010,2455409,30.83,9.87e-08,2.76e-08
Aug 06 2010,2455416,97.86,2e-07,3.3e-08
Aug 13 2010,2455423,25.27,1.01e-07,3.07e-08
Aug 20 2010,2455430,19.87,1.06e-07,3.83e-08
Aug 27 2010,2455437,41.09,1.74e-07,4.1e-08
Sep 03 2010,2455443,69.4,2.31e-07,4.5e-08
Sep 10 2010,2455450,194.71,4.04e-07,5.4e-08
Sep 17 2010,2455457,598.1,7.28e-07,5.6e-08
Sep 24 2010,2455464,518.63,1.14e-06,1e-07
Oct 01 2010,2455471,566.63,8.07e-07,6.4e-08
Oct 08 2010,2455478,284.06,7.04e-07,7.7e-08
Oct 15 2010,2455485,155.95,4.44e-07,6.4e-08
Oct 22 2010,2455492,71.98,2.7e-07,5.4e-08
Oct 29 2010,2455499,106.36,3.01e-07,4.9e-08
Nov 05 2010,2455506,194.43,3.74e-07,4.7e-08
Nov 12 2010,2455513,273.54,3.9e-07,4.2e-08
Nov 19 2010,2455520,358.15,5.02e-07,4.9e-08
Nov 26 2010,2455527,128.76,3.21e-07,4.6e-08
Dec 03 2010,2455534,137.9,4.19e-07,5.6e-08
Dec 10 2010,2455541,227.75,5.35e-07,6.3e-08
Dec 17 2010,2455548,146.77,3.94e-07,5.8e-08
Dec 24 2010,2455555,168.8,4.26e-07,6e-08
Dec 31 2010,2455562,436.44,5.13e-07,4.4e-08
Jan 07 2011,2455569,268.57,3.79e-07,4.2e-08
Jan 14 2011,2455576,191.61,3.25e-07,4.1e-08
Jan 21 2011,2455583,153.72,3.68e-07,5.1e-08
Jan 28 2011,2455590,108.07,2.56e-07,4.6e-08
Feb 04 2011,2455596,75.09,2.38e-07,4.5e-08
Feb 11 2011,2455603,96.55,3.16e-07,5.2e-08
Feb 18 2011,2455610,101.83,2.92e-07,4.6e-08
Feb 25 2011,2455617,174.17,2.98e-07,3.9e-08
Mar 04 2011,2455627,218.23,3.24e-07,3.8e-08
Mar 11 2011,2455634,98.44,2.45e-07,3.9e-08
Mar 18 2011,2455641,80.08,2.57e-07,4.9e-08
Mar 25 2011,2455648,57.22,2.49e-07,5.3e-08
Apr 01 2011,2455654,130.26,3.68e-07,5.3e-08
Apr 08 2011,2455661,315.19,5.93e-07,6.2e-08
Apr 15 2011,2455668,199.42,9.94e-07,1.27e-07
Apr 22 2011,2455675,453.43,6.4e-07,5.3e-08
Apr 29 2011,2455682,341.79,4.7e-07,4.6e-08
May 06 2011,2455689,302.83,4.82e-07,5.2e-08
May 13 2011,2455696,391.89,7.62e-07,6.9e-08
May 20 2011,2455703,623.14,1.01e-06,7.9e-08
May 27 2011,2455710,594.3,9.31e-07,7.4e-08
Jun 03 2011,2455717,636.48,8.46e-07,6.6e-08
Jun 10 2011,2455724,663.47,7.52e-07,5.7e-08
Jun 17 2011,2455731,543.8,6.04e-07,4.7e-08
Jun 24 2011,2455738,405.22,5.17e-07,5.1e-08
Jul 01 2011,2455745,426.0,6.99e-07,6.3e-08
Jul 08 2011,2455752,153.54,3.91e-07,5.5e-08
Jul 15 2011,2455759,86.15,2.39e-07,4.8e-08
Jul 22 2011,2455766,54.69,2.18e-07,4.7e-08
Jul 29 2011,2455773,113.67,2.41e-07,4e-08
Aug 05 2011,2455780,278.7,3.56e-07,4e-08
Aug 12 2011,2455787,354.63,4.01e-07,4.1e-08
Aug 19 2011,2455794,167.27,3.53e-07,4.6e-08
Aug 26 2011,2455801,111.21,3.13e-07,5.3e-08
Sep 02 2011,2455807,200.14,5.12e-07,6.8e-08
Sep 09 2011,2455814,280.29,3.97e-07,4e-08
Sep 16 2011,2455821,127.97,3.04e-07,4.8e-08
Sep 23 2011,2455828,111.28,2.57e-07,3.9e-08
Sep 30 2011,2455835,71.55,1.59e-07,3.2e-08
Oct 07 2011,2455843,157.55,3.6e-07,5e-08
Oct 14 2011,2455850,77.61,2.5e-07,4.5e-08
Oct 21 2011,2455857,43.04,1.87e-07,4.6e-08
Oct 28 2011,2455864,103.07,2.83e-07,4.7e-08
Nov 04 2011,2455870,106.22,2.41e-07,4.2e-08
Nov 11 2011,2455877,18.81,8.6e-08,2.9e-08
Nov 18 2011,2455884,79.5,1.6e-07,3e-08
Nov 25 2011,2455891,140.66,2.23e-07,3.2e-08
Dec 02 2011,2455899,143.56,2.62e-07,3.8e-08
Dec 09 2011,2455906,50.59,1.75e-07,3.7e-08
Dec 16 2011,2455913,85.94,2.31e-07,4.3e-08
Dec 23 2011,2455920,66.65,1.72e-07,3.8e-08
Dec 30 2011,2455927,88.53,2.24e-07,3.9e-08
Jan 06 2012,2455933,185.03,2.77e-07,3.6e-08
Jan 13 2012,2455940,215.77,2.79e-07,3.4e-08
Jan 20 2012,2455947,70.97,1.55e-07,3e-08
Jan 27 2012,2455954,152.67,2.65e-07,3.7e-08
Feb 03 2012,2455960,49.24,1.73e-07,3.8e-08
Feb 10 2012,2455967,39.65,1.57e-07,3.8e-08
Feb 17 2012,2455974,61.03,1.78e-07,3.8e-08
Feb 24 2012,2455981,26.54,1.28e-07,3.56e-08
Mar 02 2012,2455990,55.66,1.31e-07,3e-08
Mar 09 2012,2455997,39.9,1.25e-07,3.38e-08
Mar 16 2012,2456004,30.47,1.18e-07,3.04e-08
Mar 23 2012,2456011,26.94,1.31e-07,3.81e-08
Mar 30 2012,2456018,32.83,1.13e-07,3.35e-08
Apr 06 2012,2456024,9.27,6.81e-08,3.41e-08
Apr 13 2012,2456031,41.94,1.89e-07,4.8e-08
Apr 20 2012,2456038,83.44,2.33e-07,4.6e-08
Apr 27 2012,2456045,39.28,1.1e-07,2.9e-08
May 04 2012,2456053,103.89,2.37e-07,3.8e-08
May 11 2012,2456060,99.73,2.25e-07,3.8e-08
May 18 2012,2456067,19.65,1.02e-07,3.47e-08
May 25 2012,2456074,26.43,1.2e-07,3.58e-08
Jun 01 2012,2456080,12.95,6.76e-08,3.15e-08
