Date(UTC),Julian Date,TS,Photon Flux [0.1-100 GeV](photons cm-2 s-1),Photon Flux Error(photons cm-2 s-1)
Aug 08 2008,2454687,5928.03,3.45e-06,9e-08
Aug 15 2008,2454694,4224.96,2.61e-06,8e-08
Aug 22 2008,2454701,4450.36,2.97e-06,9e-08
Aug 29 2008,2454708,3893.75,3.07e-06,1e-07
Sep 05 2008,2454715,2415.42,2.44e-06,1e-07
Sep 12 2008,2454722,4915.6,4.39e-06,1.3e-07
Sep 19 2008,2454729,4604.52,3.51e-06,1.1e-07
Sep 26 2008,2454736,3180.29,2.33e-06,8e-08
Oct 03 2008,2454743,3797.81,2.49e-06,8e-08
Oct 10 2008,2454750,2376.88,1.74e-06,7e-08
Oct 17 2008,2454757,1265.86,1.17e-06,6e-08
Oct 24 2008,2454764,1344.99,1.4e-06,7e-08
Oct 31 2008,2454771,1070.86,1.32e-06,8e-08
Nov 07 2008,2454777,793.7,1.09e-06,7e-08
Nov 14 2008,2454784,1283.47,1.36e-06,7e-08
Nov 21 2008,2454791,1968.82,1.52e-06,6e-08
Nov 28 2008,2454798,1659.88,1.41e-06,6e-08
Dec 05 2008,2454806,1265.93,1.14e-06,6e-08
Dec 12 2008,2454813,630.14,7.79e-07,5.4e-08
Dec 19 2008,2454820,603.51,8.34e-07,6.2e-08
Dec 26 2008,2454827,386.9,6.63e-07,6.1e-08
Jan 02 2009,2454833,532.24,7.75e-07,5.9e-08
Jan 09 2009,2454840,910.94,9.34e-07,5.7e-08
Jan 16 2009,2454847,557.85,6.35e-07,4.6e-08
Jan 23 2009,2454854,280.73,4.18e-07,4.1e-08
Jan 30 2009,2454861,193.1,3.5e-07,4.1e-08
Feb 06 2009,2454868,127.92,3.05e-07,4.2e-08
Feb 13 2009,2454875,52.25,1.98e-07,4.2e-08
Feb 20 2009,2454882,42.16,1.58e-07,3.8e-08
Feb 27 2009,2454889,37.1,1.32e-07,3.1e-08
Mar 06 2009,2454898,33.79,1.05e-07,2.67e-08
Mar 13 2009,2454905,6.43,5.6e-08,2.89e-08
Mar 20 2009,2454912,21.68,7.95e-08,2.46e-08
Mar 27 2009,2454919,29.78,1.18e-07,3e-08
Apr 03 2009,2454926,21.1,9.34e-08,2.99e-08
Apr 10 2009,2454933,39.07,1.69e-07,3.9e-08
Apr 17 2009,2454940,103.4,2.42e-07,4e-08
Apr 24 2009,2454947,543.05,7.2e-07,5.5e-08
May 01 2009,2454954,786.8,8.36e-07,5.4e-08
May 08 2009,2454961,765.44,8.76e-07,5.7e-08
May 15 2009,2454968,828.95,9.04e-07,5.6e-08
May 22 2009,2454975,611.76,7.64e-07,5.3e-08
May 29 2009,2454982,644.66,9.2e-07,6.8e-08
Jun 05 2009,2454988,442.63,7.07e-07,6e-08
