Date(UTC),Julian Date,TS,Photon Flux [0.1-100 GeV](photons cm-2 s-1),Photon Flux Error(photons cm-2 s-1)
Nov 04 2011,2455870,0.04,4.19e-08,2.095e-08
Nov 11 2011,2455877,8.48,1.6e-08,1.22e-08
Nov 18 2011,2455884,8.54,4.78e-08,2.37e-08
Nov 25 2011,2455891,0.0,3.12e-08,1.56e-08
Dec 09 2011,2455906,0.0,2.54e-08,1.27e-08
Dec 23 2011,2455920,3.5,4.36e-08,2.18e-08
Dec 30 2011,2455927,23.33,4.62e-08,2.04e-08
Jan 06 2012,2455933,15.08,6.08e-08,3.03e-08
Jan 27 2012,2455954,24.42,3.64e-08,1.55e-08
Feb 10 2012,2455967,37.56,5.02e-08,1.62e-08
Feb 24 2012,2455981,39.97,9.87e-08,2.87e-08
Mar 09 2012,2455997,23.69,7.85e-08,3.31e-08
Apr 13 2012,2456031,217.54,2.29e-07,3.4e-08
Apr 20 2012,2456038,125.05,2.22e-07,4.3e-08
Apr 27 2012,2456045,17.07,6.42e-08,2.88e-08
May 04 2012,2456053,78.37,1.39e-07,3.2e-08
May 11 2012,2456060,122.04,1.39e-07,2.8e-08
May 18 2012,2456067,98.43,1.03e-07,2e-08
May 25 2012,2456074,143.28,1.35e-07,2.2e-08
Jun 01 2012,2456080,56.14,8.3e-08,2.36e-08
Jun 08 2012,2456087,49.9,1.34e-07,3.3e-08
Jun 15 2012,2456094,51.07,1.12e-07,3.09e-08
Jun 29 2012,2456108,57.89,1.12e-07,2.84e-08
Jul 06 2012,2456116,45.55,1.06e-07,2.93e-08
Jul 13 2012,2456123,60.79,6.92e-08,1.7e-08
Jul 20 2012,2456130,26.68,5.48e-08,1.84e-08
Jul 27 2012,2456137,28.49,6.29e-08,2.36e-08
Sep 21 2012,2456191,56.2,1.09e-07,3.14e-08
Sep 28 2012,2456198,14.42,1.6e-07,9.04e-08
Oct 05 2012,2456206,72.54,1.52e-07,3.5e-08
Oct 12 2012,2456213,82.4,1.28e-07,2.87e-08
Oct 19 2012,2456220,119.81,1.13e-07,2.27e-08
Nov 02 2012,2456233,244.79,1.95e-07,2.9e-08
Nov 23 2012,2456254,81.88,2.02e-07,4.8e-08
Nov 30 2012,2456261,133.78,2.33e-07,4.5e-08
Dec 07 2012,2456269,381.75,3.52e-07,4.2e-08
Dec 21 2012,2456283,976.76,6.11e-07,4.6e-08
Jan 04 2013,2456296,451.37,4.08e-07,4.7e-08
Jan 18 2013,2456310,267.69,3.75e-07,5.6e-08
Jan 25 2013,2456317,336.98,3.64e-07,4.2e-08
Feb 01 2013,2456324,627.54,4.23e-07,3.7e-08
Feb 08 2013,2456331,260.77,2.32e-07,3.1e-08
Feb 15 2013,2456338,350.02,2.51e-07,2.7e-08
Feb 22 2013,2456345,317.3,2.73e-07,3.2e-08
Mar 08 2013,2456361,84.61,1.52e-07,3.4e-08
Mar 15 2013,2456368,65.2,1.51e-07,3.9e-08
Mar 29 2013,2456382,432.32,3.23e-07,3.6e-08
Apr 05 2013,2456389,324.41,2.51e-07,3e-08
Apr 12 2013,2456396,474.48,4.16e-07,4.5e-08
Apr 19 2013,2456403,637.77,5.8e-07,5.9e-08
Apr 26 2013,2456410,395.13,6.23e-07,7.7e-08
May 03 2013,2456417,392.41,5.48e-07,5.9e-08
May 10 2013,2456424,871.36,8.07e-07,6.1e-08
May 17 2013,2456431,191.38,6.92e-07,1.23e-07
May 24 2013,2456438,1281.78,6.3e-07,4.3e-08
May 31 2013,2456445,1526.94,7.65e-07,4.4e-08
Jun 07 2013,2456451,678.76,5.28e-07,4.6e-08
Jun 14 2013,2456458,472.86,5.01e-07,5.7e-08
Jun 21 2013,2456465,199.64,3.43e-07,5.5e-08
Jun 28 2013,2456472,109.27,1.87e-07,4e-08
Jul 05 2013,2456480,162.81,2.14e-07,3.5e-08
Jul 12 2013,2456487,547.02,4.09e-07,4.3e-08
Jul 19 2013,2456494,1053.34,6.84e-07,5.2e-08
Jul 26 2013,2456501,612.31,4.6e-07,4.4e-08
Aug 02 2013,2456507,420.7,4.03e-07,4.7e-08
Aug 09 2013,2456514,77.28,1.35e-07,3e-08
Aug 16 2013,2456521,149.13,3.01e-07,5e-08
Aug 23 2013,2456528,191.67,3.64e-07,6.5e-08
Aug 30 2013,2456535,293.88,3.74e-07,4.8e-08
Sep 06 2013,2456542,264.89,2.51e-07,3.1e-08
Sep 20 2013,2456556,361.28,3.05e-07,3.7e-08
Sep 27 2013,2456563,443.69,4.33e-07,4.6e-08
Oct 04 2013,2456570,261.87,3.54e-07,5e-08
Oct 18 2013,2456584,121.76,2.12e-07,4.2e-08
Oct 25 2013,2456591,161.58,1.8e-07,3.2e-08
Nov 08 2013,2456605,108.91,1.4e-07,2.7e-08
Nov 15 2013,2456612,142.9,1.71e-07,3e-08
Nov 22 2013,2456619,413.57,4.39e-07,5e-08
Nov 29 2013,2456626,70.69,1.75e-07,4.3e-08
Dec 06 2013,2456633,263.45,2.95e-07,4e-08
Dec 13 2013,2456640,438.17,2.82e-07,3.2e-08
Dec 20 2013,2456647,698.14,4.5e-07,4.1e-08
Dec 27 2013,2456654,782.78,5.56e-07,4.7e-08
Jan 10 2014,2456667,137.42,1.96e-07,3.6e-08
Jan 17 2014,2456674,250.51,3.65e-07,5.2e-08
Jan 24 2014,2456681,35.17,1.48e-07,5.86e-08
Jan 31 2014,2456688,0.21,3.2e-07,1.6e-07
Feb 07 2014,2456695,96.88,1.52e-07,3.5e-08
Feb 14 2014,2456702,227.22,2.21e-07,3.2e-08
Feb 21 2014,2456709,510.3,3.88e-07,3.9e-08
Feb 28 2014,2456716,390.46,2.78e-07,3e-08
Mar 14 2014,2456732,105.29,2.23e-07,4.1e-08
Mar 21 2014,2456739,127.05,2.67e-07,5.2e-08
Mar 28 2014,2456746,193.56,3.4e-07,5.2e-08
Apr 04 2014,2456753,232.68,2.48e-07,3.6e-08
Apr 11 2014,2456760,319.62,2.77e-07,3.3e-08
Apr 18 2014,2456767,314.67,2.62e-07,3.3e-08
Apr 25 2014,2456774,251.37,2.67e-07,3.8e-08
May 02 2014,2456781,79.8,1.52e-07,3.7e-08
May 09 2014,2456788,145.31,2.73e-07,5.1e-08
May 16 2014,2456795,237.4,3.57e-07,5.4e-08
May 23 2014,2456802,253.34,2.63e-07,3.6e-08
May 30 2014,2456809,415.85,3.19e-07,3.6e-08
Jun 06 2014,2456816,376.54,3.15e-07,3.7e-08
Jun 13 2014,2456823,227.46,3.22e-07,4.4e-08
Jun 27 2014,2456837,138.68,2.66e-07,4.9e-08
Jul 04 2014,2456844,241.93,3.21e-07,4.7e-08
Jul 11 2014,2456851,143.45,2.36e-07,4.5e-08
Jul 18 2014,2456858,113.89,1.79e-07,3.6e-08
Jul 25 2014,2456865,155.5,2.39e-07,4.3e-08
Aug 01 2014,2456872,118.34,1.54e-07,2.9e-08
Aug 08 2014,2456879,70.88,1.47e-07,3.4e-08
Aug 15 2014,2456886,16.53,8.66e-08,3.48e-08
Aug 22 2014,2456893,36.85,9.71e-08,2.84e-08
Aug 29 2014,2456900,16.05,5.73e-08,2.84e-08
Sep 05 2014,2456906,83.52,1.38e-07,2.9e-08
Sep 12 2014,2456913,138.53,1.57e-07,3e-08
Sep 19 2014,2456920,144.59,1.62e-07,2.8e-08
Sep 26 2014,2456927,183.42,2.05e-07,3.2e-08
Oct 03 2014,2456934,141.42,2.09e-07,3.9e-08
Oct 10 2014,2456941,105.55,2.59e-07,5.3e-08
Oct 17 2014,2456948,79.09,2.04e-07,4.9e-08
Oct 24 2014,2456955,67.15,1.68e-07,4.4e-08
Oct 31 2014,2456962,43.04,8.43e-08,2.74e-08
Nov 14 2014,2456976,120.01,1.24e-07,2.43e-08
Nov 21 2014,2456983,25.52,4.72e-08,1.8e-08
Dec 12 2014,2457004,74.91,1.8e-07,4.3e-08
Dec 19 2014,2457011,66.61,1.49e-07,3.4e-08
Dec 26 2014,2457018,77.66,1.02e-07,2.4e-08
Jan 02 2015,2457025,163.52,1.5e-07,2.5e-08
Jan 16 2015,2457039,180.57,2.22e-07,3.6e-08
Jan 23 2015,2457046,127.54,2.12e-07,4e-08
Jan 30 2015,2457053,46.35,1.1e-07,3.33e-08
Feb 13 2015,2457066,67.48,9.66e-08,2.41e-08
Feb 27 2015,2457080,241.19,1.79e-07,2.4e-08
Mar 06 2015,2457090,110.27,1.28e-07,2.7e-08
Mar 13 2015,2457097,118.22,2.31e-07,4.5e-08
Mar 20 2015,2457104,314.6,4.51e-07,5.4e-08
Mar 27 2015,2457111,124.87,2.58e-07,5.3e-08
Apr 03 2015,2457117,318.46,3.7e-07,4.4e-08
Apr 10 2015,2457124,534.72,3.94e-07,4.1e-08
Apr 17 2015,2457131,555.86,3.3e-07,3e-08
May 01 2015,2457145,241.37,2.72e-07,3.7e-08
May 08 2015,2457152,126.46,2.44e-07,4.5e-08
May 15 2015,2457159,143.67,2.82e-07,4.7e-08
May 22 2015,2457166,186.1,2.99e-07,5e-08
May 29 2015,2457173,167.55,2.37e-07,3.9e-08
Jun 05 2015,2457180,276.95,2.44e-07,3.2e-08
Jun 12 2015,2457187,313.35,2.5e-07,3.3e-08
Jun 19 2015,2457194,193.74,2.91e-07,4.4e-08
Jun 26 2015,2457201,531.06,4.68e-07,4.6e-08
Jul 03 2015,2457208,161.6,3.31e-07,6e-08
Jul 10 2015,2457215,300.38,3.93e-07,4.6e-08
Jul 17 2015,2457222,491.97,4.5e-07,4.4e-08
Jul 24 2015,2457229,317.8,3.03e-07,3.8e-08
Jul 31 2015,2457236,189.38,1.93e-07,3e-08
Aug 07 2015,2457243,358.9,2.65e-07,2.9e-08
Aug 14 2015,2457250,203.37,2.46e-07,3.7e-08
Aug 21 2015,2457257,277.05,3.29e-07,4.6e-08
Aug 28 2015,2457264,212.45,3.33e-07,5.1e-08
Sep 04 2015,2457270,284.25,3.28e-07,4.7e-08
Sep 11 2015,2457277,504.1,4.74e-07,5.1e-08
Sep 18 2015,2457284,581.78,4.11e-07,3.9e-08
Sep 25 2015,2457291,403.39,3.04e-07,3.4e-08
Oct 02 2015,2457299,333.44,2.91e-07,3.6e-08
Oct 09 2015,2457306,362.3,3.21e-07,4.1e-08
Oct 16 2015,2457313,236.2,3.01e-07,4.1e-08
Oct 23 2015,2457320,166.05,2.85e-07,4.8e-08
Oct 30 2015,2457327,207.23,2.98e-07,4.5e-08
Nov 06 2015,2457333,337.35,2.88e-07,3.2e-08
Nov 13 2015,2457340,426.77,2.95e-07,3.4e-08
Nov 20 2015,2457347,461.67,3.33e-07,3.5e-08
Nov 27 2015,2457354,233.51,2.81e-07,3.8e-08
Dec 04 2015,2457362,138.21,2.41e-07,4.3e-08
Dec 11 2015,2457369,75.17,2.15e-07,4.9e-08
Dec 18 2015,2457376,82.73,1.81e-07,4.2e-08
Dec 25 2015,2457383,131.4,2.09e-07,3.9e-08
Jan 01 2016,2457389,387.58,2.68e-07,3.1e-08
Jan 08 2016,2457396,99.52,1.42e-07,2.9e-08
Jan 15 2016,2457403,92.83,1.31e-07,2.9e-08
Jan 22 2016,2457410,94.63,1.35e-07,3.1e-08
Jan 29 2016,2457417,30.36,7.65e-08,2.68e-08
Feb 05 2016,2457423,39.0,1e-07,3.24e-08
Feb 12 2016,2457430,32.45,8.88e-08,2.88e-08
Feb 19 2016,2457437,20.93,4.55e-08,1.78e-08
Feb 26 2016,2457444,18.09,3.86e-08,1.6e-08
Mar 04 2016,2457453,25.09,4.79e-08,1.73e-08
Mar 11 2016,2457460,50.64,8.2e-08,2.26e-08
Mar 18 2016,2457467,25.24,5.66e-08,2.26e-08
Mar 25 2016,2457474,4.64,3.97e-08,2.64e-08
Apr 01 2016,2457480,0.25,5.36e-08,2.68e-08
Apr 08 2016,2457487,2.2,4.54e-08,2.27e-08
Apr 15 2016,2457494,25.4,5.21e-08,1.88e-08
Apr 22 2016,2457501,82.33,9.3e-08,2.09e-08
Apr 29 2016,2457508,174.58,1.78e-07,3e-08
May 06 2016,2457516,324.71,3.27e-07,3.7e-08
May 13 2016,2457523,169.5,3.02e-07,5.2e-08
May 20 2016,2457530,204.2,3.85e-07,5.9e-08
May 27 2016,2457537,159.21,2.85e-07,5e-08
Jun 03 2016,2457543,277.9,3.21e-07,4.2e-08
Jun 10 2016,2457550,376.88,2.68e-07,3.2e-08
Jun 17 2016,2457557,350.34,2.75e-07,3.2e-08
Jun 24 2016,2457564,323.7,2.57e-07,3e-08
Jul 01 2016,2457572,161.82,2.08e-07,3.7e-08
Jul 08 2016,2457579,194.51,3.95e-07,6.1e-08
Jul 15 2016,2457586,224.81,3.14e-07,4.4e-08
Jul 22 2016,2457593,107.7,1.98e-07,4e-08
Jul 29 2016,2457600,583.59,4.33e-07,4.2e-08
Aug 05 2016,2457606,1889.21,5.37e-07,2.9e-08
Aug 12 2016,2457613,838.06,5.45e-07,4.1e-08
Aug 19 2016,2457620,485.9,4.58e-07,4.3e-08
Aug 26 2016,2457627,325.14,3.63e-07,4.2e-08
Sep 02 2016,2457633,82.25,2.06e-07,4.6e-08
Sep 09 2016,2457640,247.39,3.21e-07,4.7e-08
Sep 16 2016,2457647,357.15,3.01e-07,3.4e-08
Sep 23 2016,2457654,296.03,2.36e-07,3.1e-08
Sep 30 2016,2457661,655.78,4.15e-07,3.7e-08
Oct 07 2016,2457669,194.94,2.31e-07,3.6e-08
Oct 14 2016,2457676,407.41,3.06e-07,3.3e-08
Oct 28 2016,2457690,90.99,1.86e-07,4.5e-08
Nov 04 2016,2457696,193.8,3.21e-07,5.1e-08
Nov 11 2016,2457703,252.5,2.83e-07,3.6e-08
Nov 18 2016,2457710,247.65,2.34e-07,3.3e-08
Nov 25 2016,2457717,761.1,4.69e-07,4.1e-08
Dec 02 2016,2457725,267.31,2.77e-07,3.8e-08
Dec 09 2016,2457732,161.77,2.63e-07,4.7e-08
Dec 16 2016,2457739,74.95,1.95e-07,5.4e-08
Dec 23 2016,2457746,170.45,2.86e-07,4.8e-08
Dec 30 2016,2457753,177.73,3.54e-07,6e-08
Jan 06 2017,2457759,1063.28,7.11e-07,5.5e-08
Jan 13 2017,2457766,406.75,3.4e-07,3.8e-08
Jan 20 2017,2457773,762.8,5.11e-07,4.5e-08
Jan 27 2017,2457780,227.03,3.16e-07,4.5e-08
Feb 03 2017,2457787,178.02,2.76e-07,4.5e-08
Feb 10 2017,2457794,131.62,2.3e-07,4.1e-08
Feb 17 2017,2457801,216.13,2.62e-07,4.3e-08
Feb 24 2017,2457808,244.28,2.46e-07,3.5e-08
Mar 03 2017,2457817,373.17,2.95e-07,3.5e-08
Mar 10 2017,2457824,623.35,4.26e-07,4.2e-08
Mar 17 2017,2457831,355.83,3.12e-07,3.9e-08
Mar 24 2017,2457838,377.1,3.77e-07,4.3e-08
Mar 31 2017,2457845,72.45,1.8e-07,3.9e-08
Apr 07 2017,2457852,96.91,2.2e-07,4.7e-08
Apr 14 2017,2457859,113.85,1.47e-07,3.2e-08
Apr 21 2017,2457866,222.77,1.89e-07,2.8e-08
Apr 28 2017,2457873,357.01,2.5e-07,3.1e-08
May 05 2017,2457880,303.08,2.4e-07,3.2e-08
May 12 2017,2457887,297.91,2.99e-07,3.5e-08
May 19 2017,2457894,116.66,2.2e-07,4e-08
May 26 2017,2457901,170.54,2.79e-07,5.1e-08
Jun 02 2017,2457907,169.99,2.69e-07,3.8e-08
Jun 09 2017,2457914,115.55,1.74e-07,3.4e-08
