Date(UTC),Julian Date,TS,Photon Flux [0.1-100 GeV](photons cm-2 s-1),Photon Flux Error(photons cm-2 s-1)
Aug 08 2008,2454687,149.81,1.32e-07,2.4e-08
Aug 15 2008,2454694,53.93,9.75e-08,2.42e-08
Aug 22 2008,2454701,83.88,1.29e-07,2.7e-08
Aug 29 2008,2454708,116.28,1.5e-07,2.8e-08
Sep 05 2008,2454715,171.92,1.91e-07,2.8e-08
Sep 12 2008,2454722,103.41,1.28e-07,2.3e-08
Sep 19 2008,2454729,84.58,1.16e-07,2.34e-08
Sep 26 2008,2454736,205.55,1.69e-07,2.6e-08
Oct 03 2008,2454743,219.15,2.47e-07,3.1e-08
Oct 10 2008,2454750,160.84,1.96e-07,3.2e-08
Oct 17 2008,2454757,116.58,1.73e-07,3.2e-08
Oct 24 2008,2454764,94.28,1.25e-07,2.4e-08
Oct 31 2008,2454771,57.98,7.84e-08,1.9e-08
Nov 07 2008,2454777,49.73,7.38e-08,1.9e-08
Nov 14 2008,2454784,84.18,1e-07,2.2e-08
Nov 21 2008,2454791,96.09,1.1e-07,2.19e-08
Nov 28 2008,2454798,157.8,1.84e-07,2.8e-08
Dec 05 2008,2454806,102.07,1.63e-07,3.1e-08
Dec 12 2008,2454813,67.01,1.21e-07,2.66e-08
Dec 19 2008,2454820,42.68,8.97e-08,2.32e-08
Dec 26 2008,2454827,19.75,4.19e-08,1.55e-08
Jan 02 2009,2454833,22.54,5.23e-08,1.77e-08
Jan 09 2009,2454840,4.94,1.9e-08,1.21e-08
Jan 16 2009,2454847,15.31,3.96e-08,1.59e-08
Jan 23 2009,2454854,9.32,2.84e-08,1.64e-08
Jan 30 2009,2454861,14.2,5.56e-08,2.32e-08
Feb 06 2009,2454868,9.8,1.24e-08,9.29e-09
Feb 13 2009,2454875,17.09,3.77e-08,1.62e-08
Feb 20 2009,2454882,14.24,4.21e-08,1.66e-08
Feb 27 2009,2454889,32.66,6.56e-08,1.84e-08
Mar 06 2009,2454898,36.28,6.84e-08,1.87e-08
Mar 13 2009,2454905,1.81,6.97e-08,3.485e-08
Mar 20 2009,2454912,79.55,1.23e-07,2.72e-08
Mar 27 2009,2454919,31.3,5.98e-08,2e-08
Apr 03 2009,2454926,25.09,5.15e-08,1.85e-08
Apr 10 2009,2454933,8.59,2.48e-08,1.31e-08
Apr 17 2009,2454940,232.74,2.05e-07,2.8e-08
Apr 24 2009,2454947,114.62,1.55e-07,2.7e-08
May 01 2009,2454954,149.41,1.68e-07,2.7e-08
May 08 2009,2454961,97.71,1.5e-07,2.8e-08
May 15 2009,2454968,145.38,1.66e-07,2.7e-08
May 22 2009,2454975,264.06,2.99e-07,3.7e-08
May 29 2009,2454982,218.92,2.46e-07,3.1e-08
Jun 05 2009,2454988,164.93,1.83e-07,2.7e-08
Jun 12 2009,2454995,416.81,3.2e-07,3.4e-08
Jun 19 2009,2455002,299.19,2.54e-07,2.9e-08
Jun 26 2009,2455009,139.29,1.59e-07,2.6e-08
Jul 03 2009,2455017,112.62,1.43e-07,2.8e-08
Jul 10 2009,2455024,201.5,2.48e-07,3.5e-08
Jul 17 2009,2455031,276.51,2.82e-07,3.3e-08
Jul 24 2009,2455038,285.5,2.58e-07,3.2e-08
Jul 31 2009,2455045,668.76,4.18e-07,3.5e-08
Aug 07 2009,2455051,428.18,3.26e-07,3.3e-08
Aug 14 2009,2455058,486.47,3.47e-07,3.2e-08
Aug 21 2009,2455065,375.04,3.34e-07,3.6e-08
Aug 28 2009,2455072,363.28,3.5e-07,3.7e-08
Sep 04 2009,2455079,233.4,2.28e-07,2.9e-08
Sep 11 2009,2455086,234.91,1.98e-07,2.6e-08
Sep 18 2009,2455093,253.73,2.26e-07,2.8e-08
Sep 25 2009,2455100,242.65,1.99e-07,2.6e-08
Oct 02 2009,2455107,747.41,4.21e-07,3.4e-08
Oct 09 2009,2455114,636.75,4.17e-07,3.6e-08
Oct 16 2009,2455121,209.47,2.21e-07,2.9e-08
Oct 23 2009,2455128,258.44,2.41e-07,3e-08
Oct 30 2009,2455135,233.01,1.93e-07,2.6e-08
Nov 06 2009,2455142,86.11,1.06e-07,2.02e-08
Nov 13 2009,2455149,8.57,4.42e-08,1.89e-08
Nov 20 2009,2455156,41.48,7.62e-08,1.9e-08
Nov 27 2009,2455163,56.76,6.78e-08,1.82e-08
Dec 04 2009,2455170,45.37,5.55e-08,1.56e-08
Dec 11 2009,2455177,46.7,6.77e-08,1.77e-08
Dec 18 2009,2455184,54.53,8.37e-08,1.94e-08
Dec 25 2009,2455191,26.93,4.46e-08,1.57e-08
Jan 01 2010,2455197,41.97,5.96e-08,1.61e-08
Jan 08 2010,2455204,68.57,7.15e-08,1.78e-08
Jan 15 2010,2455211,80.52,1.14e-07,2.22e-08
Jan 22 2010,2455218,59.65,8.44e-08,2.04e-08
Jan 29 2010,2455225,135.91,1.35e-07,2.3e-08
Feb 05 2010,2455232,158.11,1.77e-07,2.5e-08
Feb 12 2010,2455239,80.01,1.12e-07,2.29e-08
Feb 19 2010,2455246,129.86,1.35e-07,2.3e-08
Feb 26 2010,2455253,566.7,3.56e-07,3.2e-08
Mar 05 2010,2455262,340.11,2.63e-07,2.8e-08
Mar 12 2010,2455269,545.01,3.65e-07,3.3e-08
Mar 19 2010,2455276,68.48,1.11e-07,2.27e-08
Mar 26 2010,2455283,263.73,2.38e-07,2.9e-08
Apr 02 2010,2455290,289.84,2.43e-07,2.9e-08
Apr 09 2010,2455297,92.02,1.14e-07,2.25e-08
Apr 16 2010,2455304,467.61,3.2e-07,3.1e-08
Apr 23 2010,2455311,362.01,3.03e-07,3e-08
Apr 30 2010,2455318,231.61,2.06e-07,2.7e-08
May 07 2010,2455325,229.72,2.07e-07,2.6e-08
May 14 2010,2455332,34.78,5.73e-08,1.72e-08
May 21 2010,2455339,245.52,2.45e-07,3e-08
May 28 2010,2455346,568.06,4.07e-07,3.6e-08
Jun 04 2010,2455353,461.84,3.21e-07,3.1e-08
Jun 11 2010,2455360,532.29,3.43e-07,3.3e-08
Jun 18 2010,2455367,281.51,2.38e-07,2.8e-08
Jun 25 2010,2455374,204.95,1.88e-07,2.6e-08
Jul 02 2010,2455381,407.63,2.89e-07,2.9e-08
Jul 09 2010,2455388,297.06,2.51e-07,2.8e-08
Jul 16 2010,2455395,281.61,2.47e-07,2.9e-08
Jul 23 2010,2455402,284.0,2.37e-07,2.9e-08
Jul 30 2010,2455409,238.22,2.04e-07,2.6e-08
Aug 06 2010,2455416,500.21,3.26e-07,3.1e-08
Aug 13 2010,2455423,341.88,2.73e-07,3e-08
Aug 20 2010,2455430,238.71,1.91e-07,2.5e-08
Aug 27 2010,2455437,108.0,1.08e-07,2.06e-08
Sep 03 2010,2455443,141.2,1.5e-07,2.3e-08
Sep 10 2010,2455450,314.19,2.36e-07,2.9e-08
Sep 17 2010,2455457,288.39,2.56e-07,3e-08
Sep 24 2010,2455464,298.92,2.6e-07,3.1e-08
Oct 01 2010,2455471,217.57,1.73e-07,2.4e-08
Oct 08 2010,2455478,207.94,1.71e-07,2.5e-08
Oct 15 2010,2455485,142.07,1.51e-07,2.4e-08
Oct 22 2010,2455492,55.27,7.62e-08,1.93e-08
Oct 29 2010,2455499,88.38,1.04e-07,2.13e-08
Nov 05 2010,2455506,125.53,1.4e-07,2.3e-08
Nov 12 2010,2455513,211.98,1.93e-07,2.5e-08
Nov 19 2010,2455520,109.24,1.29e-07,2.3e-08
Nov 26 2010,2455527,136.97,1.51e-07,2.5e-08
Dec 03 2010,2455534,128.55,1.47e-07,2.4e-08
Dec 10 2010,2455541,243.94,2.27e-07,2.9e-08
Dec 17 2010,2455548,100.24,1.4e-07,2.5e-08
Dec 24 2010,2455555,145.14,1.61e-07,2.6e-08
Dec 31 2010,2455562,69.77,1.07e-07,2.42e-08
Jan 07 2011,2455569,82.53,9.33e-08,1.94e-08
Jan 14 2011,2455576,64.29,8.17e-08,1.83e-08
Jan 21 2011,2455583,123.3,1.33e-07,2.3e-08
Jan 28 2011,2455590,130.06,1.29e-07,2.2e-08
Feb 04 2011,2455596,66.53,9.65e-08,2.02e-08
Feb 11 2011,2455603,41.52,7.85e-08,2.13e-08
Feb 18 2011,2455610,57.49,9.56e-08,2.14e-08
Feb 25 2011,2455617,475.27,3.79e-07,3.5e-08
Mar 04 2011,2455627,983.63,5.57e-07,4e-08
Mar 11 2011,2455634,470.12,3.64e-07,3.4e-08
Mar 18 2011,2455641,117.99,1.43e-07,2.4e-08
Mar 25 2011,2455648,94.9,1.22e-07,2.38e-08
Apr 01 2011,2455654,126.57,1.61e-07,2.6e-08
Apr 08 2011,2455661,175.38,1.58e-07,2.4e-08
Apr 15 2011,2455668,188.83,1.73e-07,2.4e-08
Apr 22 2011,2455675,49.5,7.61e-08,1.92e-08
Apr 29 2011,2455682,23.07,4.86e-08,1.65e-08
May 06 2011,2455689,116.99,1.21e-07,2.13e-08
May 13 2011,2455696,125.1,1.54e-07,2.5e-08
May 20 2011,2455703,22.93,4.92e-08,1.7e-08
May 27 2011,2455710,124.78,1.56e-07,2.6e-08
Jun 03 2011,2455717,272.83,2.73e-07,3.2e-08
Jun 10 2011,2455724,337.79,2.79e-07,3.1e-08
Jun 17 2011,2455731,350.62,3.19e-07,3.2e-08
Jun 24 2011,2455738,147.78,1.45e-07,2.4e-08
Jul 01 2011,2455745,36.73,5.83e-08,1.71e-08
Jul 08 2011,2455752,637.89,4.28e-07,3.6e-08
Jul 15 2011,2455759,685.45,5.13e-07,3.9e-08
Jul 22 2011,2455766,84.84,1.02e-07,2.15e-08
Jul 29 2011,2455773,78.9,1.07e-07,2.14e-08
Aug 05 2011,2455780,64.11,1.02e-07,2.21e-08
Aug 12 2011,2455787,252.11,1.98e-07,2.6e-08
Aug 19 2011,2455794,180.37,1.8e-07,2.5e-08
Aug 26 2011,2455801,278.39,2.34e-07,2.9e-08
Sep 02 2011,2455807,351.28,3e-07,3.3e-08
Sep 09 2011,2455814,654.12,4.17e-07,3.3e-08
Sep 16 2011,2455821,270.25,2.38e-07,2.9e-08
Sep 23 2011,2455828,219.38,2.17e-07,2.9e-08
Sep 30 2011,2455835,310.2,2.81e-07,3.2e-08
