"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 08 2008","2454687","239889601","63.78","1.19e-7","2.51e-8","-2.05","0","160.29","1e-8","0","bin1.log"
"Aug 15 2008","2454694","240494401","52.15","9.95e-8","2.39e-8","-2.05","0","167.08","1e-8","0","bin2.log"
"Aug 22 2008","2454701","241099201","16.04","4.30e-8","1.89e-8","-2.05","0","173.71","1e-8","0","bin3.log"
"Aug 29 2008","2454708","241704001","23.41","7.96e-8","2.54e-8","-2.05","0","177.57","1e-8","0","bin4.log"
"Sep 05 2008","2454715","242308801","44.18","1.57e-7","3.50e-8","-2.05","0","171.90","1e-8","0","bin5.log"
"Sep 12 2008","2454722","242913601","17.04","8.77e-8","3.09e-8","-2.05","0","165.21","1e-8","0","bin6.log"
"Sep 19 2008","2454729","243518401","31.14","1.14e-7","2.97e-8","-2.05","0","158.41","1e-8","0","bin7.log"
"Sep 26 2008","2454736","244123201","44.67","1.23e-7","2.78e-8","-2.05","0","151.57","1e-8","0","bin8.log"
"Oct 03 2008","2454743","244728001","40.74","1.15e-7","2.68e-8","-2.05","0","144.71","1e-8","0","bin9.log"
"Oct 10 2008","2454750","245332801","59.53","1.50e-7","2.90e-8","-2.05","0","137.81","1e-8","0","bin10.log"
"Oct 17 2008","2454757","245937601","7.56","4.66e-8","2.11e-8","-2.05","0","130.90","1e-8","0","bin11.log"
"Oct 24 2008","2454764","246542401","98.89","2.18e-7","3.60e-8","-2.05","0","123.99","1e-8","0","bin12.log"
"Oct 31 2008","2454771","247147201","62.98","1.89e-7","3.80e-8","-2.05","0","117.07","1e-8","0","bin13.log"
"Nov 07 2008","2454777","247752001","57.34","1.83e-7","3.70e-8","-2.05","0","110.16","1e-8","0","bin14.log"
"Nov 14 2008","2454784","248356801","13.15","7.00e-8","2.50e-8","-2.05","0","103.28","1e-8","0","bin15.log"
"Nov 21 2008","2454791","248961601","13.14","5.54e-8","2.11e-8","-2.05","0","96.44","1e-8","0","bin16.log"
"Nov 28 2008","2454798","249566401","19.96","6.82e-8","2.12e-8","-2.05","0","89.68","1e-8","0","bin17.log"
"Dec 05 2008","2454806","250171201","5.39","2.30e-8","1.62e-8","-2.05","0","83.00","1e-8","0","bin18.log"
"Dec 12 2008","2454813","250776001","8.57","3.66e-8","1.87e-8","-2.05","0","76.42","1e-8","0","bin19.log"
"Dec 19 2008","2454820","251380801","20.07","6.16e-8","2.28e-8","-2.05","0","69.97","1e-8","0","bin20.log"
"Dec 26 2008","2454827","251985601","28.3","1.47e-7","3.90e-8","-2.05","0","63.65","1e-8","0","bin21.log"
"Jan 02 2009","2454833","252590401","7","4.35e-8","2.26e-8","-2.05","0","57.47","1e-8","0","bin22.log"
"Jan 09 2009","2454840","253195201","5.33","3.50e-8","1.92e-8","-2.05","0","51.43","1e-8","0","bin23.log"
"Jan 16 2009","2454847","253800001","20.84","5.92e-8","1.94e-8","-2.05","0","45.54","1e-8","0","bin24.log"
"Jan 23 2009","2454854","254404801","25.69","8.68e-8","2.40e-8","-2.05","0","39.84","1e-8","0","bin25.log"
"Jan 30 2009","2454861","255009601","14.13","6.13e-8","2.22e-8","-2.05","0","34.37","1e-8","0","bin26.log"
"Feb 06 2009","2454868","255614401","3.44","7.67e-8","0","0","0","29.23","1e-8","0","bin27.log"
"Feb 13 2009","2454875","256219201","14.7","7.29e-8","2.67e-8","-2.05","0","24.63","1e-8","0","bin28.log"
"Feb 20 2009","2454882","256824001","26.58","1.30e-7","3.47e-8","-2.05","0","20.95","1e-8","0","bin29.log"
"Feb 27 2009","2454889","257428801","204.44","3.38e-7","4.10e-8","-2.05","0","18.79","1e-8","0","bin30.log"
"Mar 06 2009","2454898","258033601","36.08","1.06e-7","2.61e-8","-2.05","0","18.73","1e-8","0","bin31.log"
"Mar 13 2009","2454905","258638401","0.04","5.47e-8","0","0","0","20.86","1e-8","0","bin32.log"
"Mar 20 2009","2454912","259243201","73.93","1.53e-7","2.90e-8","-2.05","0","24.67","1e-8","0","bin33.log"
"Mar 27 2009","2454919","259848001","22.8","8.34e-8","2.46e-8","-2.05","0","29.57","1e-8","0","bin34.log"
"Apr 03 2009","2454926","260452801","37.74","1.21e-7","2.96e-8","-2.05","0","35.15","1e-8","0","bin35.log"
"Apr 10 2009","2454933","261057601","56.44","1.40e-7","3.20e-8","-2.05","0","41.17","1e-8","0","bin36.log"
"Apr 17 2009","2454940","261662401","11.47","7.79e-8","2.97e-8","-2.05","0","47.49","1e-8","0","bin37.log"
"Apr 24 2009","2454947","262267201","52.76","1.23e-7","2.87e-8","-2.05","0","54.04","1e-8","0","bin38.log"
"May 01 2009","2454954","262872001","78.56","1.73e-7","3.10e-8","-2.05","0","60.75","1e-8","0","bin39.log"
"May 08 2009","2454961","263476801","67.1","1.45e-7","2.90e-8","-2.05","0","67.60","1e-8","0","bin40.log"
"May 15 2009","2454968","264081601","51.59","1.25e-7","2.79e-8","-2.05","0","74.55","1e-8","0","bin41.log"
"May 22 2009","2454975","264686401","43.2","1.20e-7","2.73e-8","-2.05","0","81.58","1e-8","0","bin42.log"
"May 29 2009","2454982","265291201","35.47","1.30e-7","3.23e-8","-2.05","0","88.67","1e-8","0","bin43.log"
"Jun 05 2009","2454988","265896001","5.71","5.32e-8","3.08e-8","-2.05","0","95.79","1e-8","0","bin44.log"
"Jun 12 2009","2454995","266500801","11.5","5.52e-8","2.36e-8","-2.05","0","102.94","1e-8","0","bin45.log"
"Jun 19 2009","2455002","267105601","47.79","1.30e-7","2.80e-8","-2.05","0","110.08","1e-8","0","bin46.log"
"Jun 26 2009","2455009","267710401","15.25","5.95e-8","2.18e-8","-2.05","0","117.20","1e-8","0","bin47.log"
"Jul 03 2009","2455017","268315201","21.62","7.28e-8","2.31e-8","-2.05","0","124.29","1e-8","0","bin48.log"
"Jul 10 2009","2455024","268920001","9.07","5.10e-8","2.14e-8","-2.05","0","131.34","1e-8","0","bin49.log"
"Jul 17 2009","2455031","269524801","13.22","6.65e-8","2.68e-8","-2.05","0","138.35","1e-8","0","bin50.log"
"Jul 24 2009","2455038","270129601","26.13","1.14e-7","3.21e-8","-2.05","0","145.30","1e-8","0","bin51.log"
"Jul 31 2009","2455045","270734401","13.56","6.10e-8","2.43e-8","-2.05","0","152.21","1e-8","0","bin52.log"
"Aug 07 2009","2455051","271339201","0.75","5.54e-8","0","0","0","159.08","1e-8","0","bin53.log"
"Aug 14 2009","2455058","271944001","4.66","4.00e-8","2.30e-8","-2.05","0","165.88","1e-8","0","bin54.log"
"Aug 21 2009","2455065","272548801","5.92","4.18e-8","2.16e-8","-2.05","0","172.56","1e-8","0","bin55.log"
"Aug 28 2009","2455072","273153601","5.08","2.60e-8","1.63e-8","-2.05","0","177.75","1e-8","0","bin56.log"
"Sep 04 2009","2455079","273758401","4.05","4.52e-8","2.76e-8","-2.05","0","173.06","1e-8","0","bin57.log"
"Sep 11 2009","2455086","274363201","2.03","7.77e-8","0","0","0","166.41","1e-8","0","bin58.log"
"Sep 18 2009","2455093","274968001","0.52","4.97e-8","0","0","0","159.62","1e-8","0","bin59.log"
"Sep 25 2009","2455100","275572801","3.02","1.03e-7","0","0","0","152.79","1e-8","0","bin60.log"
"Oct 02 2009","2455107","276177601","0","4.77e-8","0","0","0","145.92","1e-8","0","bin61.log"
"Oct 09 2009","2455114","276782401","5.82","4.51e-8","2.57e-8","-2.05","0","139.04","1e-8","0","bin62.log"
"Oct 16 2009","2455121","277387201","2.52","7.57e-8","0","0","0","132.13","1e-8","0","bin63.log"
"Oct 23 2009","2455128","277992001","12.55","5.03e-8","2.33e-8","-2.05","0","125.21","1e-8","0","bin64.log"
"Oct 30 2009","2455135","278596801","5.36","2.59e-8","1.95e-8","-2.05","0","118.29","1e-8","0","bin65.log"
"Nov 06 2009","2455142","279201601","0.72","5.63e-8","0","0","0","111.38","1e-8","0","bin66.log"
"Nov 13 2009","2455149","279806401","1.12","7.07e-8","0","0","0","104.50","1e-8","0","bin67.log"
"Nov 20 2009","2455156","280411201","5.66","3.96e-8","2.19e-8","-2.05","0","97.65","1e-8","0","bin68.log"
"Nov 27 2009","2455163","281016001","20.87","8.17e-8","2.94e-8","-2.05","0","90.87","1e-8","0","bin69.log"
"Dec 04 2009","2455170","281620801","25.04","1.04e-7","3.16e-8","-2.05","0","84.18","1e-8","0","bin70.log"
"Dec 11 2009","2455177","282225601","4.87","3.97e-8","2.40e-8","-2.05","0","77.58","1e-8","0","bin71.log"
"Dec 18 2009","2455184","282830401","2.82","7.56e-8","0","0","0","71.11","1e-8","0","bin72.log"
"Dec 25 2009","2455191","283435201","4.33","3.45e-8","2.50e-8","-2.05","0","64.76","1e-8","0","bin73.log"
"Jan 01 2010","2455197","284040001","10.51","7.65e-8","3.01e-8","-2.05","0","58.55","1e-8","0","bin74.log"
"Jan 08 2010","2455204","284644801","29.16","1.07e-7","3.16e-8","-2.05","0","52.49","1e-8","0","bin75.log"
"Jan 15 2010","2455211","285249601","11.29","4.22e-8","2.29e-8","-2.05","0","46.58","1e-8","0","bin76.log"
"Jan 22 2010","2455218","285854401","4.89","4.49e-8","2.70e-8","-2.05","0","40.84","1e-8","0","bin77.log"
"Jan 29 2010","2455225","286459201","12.99","7.54e-8","2.97e-8","-2.05","0","35.32","1e-8","0","bin78.log"
"Feb 05 2010","2455232","287064001","1.22","7.75e-8","0","0","0","30.11","1e-8","0","bin79.log"
"Feb 12 2010","2455239","287668801","4.84","5.49e-8","3.08e-8","-2.05","0","25.39","1e-8","0","bin80.log"
"Feb 19 2010","2455246","288273601","8.03","5.43e-8","2.66e-8","-2.05","0","21.52","1e-8","0","bin81.log"
"Feb 26 2010","2455253","288878401","4.56","3.02e-8","2.01e-8","-2.05","0","19.03","1e-8","0","bin82.log"
"Mar 05 2010","2455262","289483201","2.08","6.41e-8","0","0","0","18.57","1e-8","0","bin83.log"
"Mar 12 2010","2455269","290088001","0","4.29e-8","0","0","0","20.34","1e-8","0","bin84.log"
"Mar 19 2010","2455276","290692801","0.65","6.26e-8","0","0","0","23.90","1e-8","0","bin85.log"
"Mar 26 2010","2455283","291297601","1","6.40e-8","0","0","0","28.64","1e-8","0","bin86.log"
"Apr 02 2010","2455290","291902401","0.32","4.98e-8","0","0","0","34.12","1e-8","0","bin87.log"
"Apr 09 2010","2455297","292507201","2.59","5.24e-8","0","0","0","40.08","1e-8","0","bin88.log"
"Apr 16 2010","2455304","293112001","0.19","6.04e-8","0","0","0","46.35","1e-8","0","bin89.log"
"Apr 23 2010","2455311","293716801","0.78","8.03e-8","0","0","0","52.86","1e-8","0","bin90.log"
"Apr 30 2010","2455318","294321601","0.7","6.76e-8","0","0","0","59.55","1e-8","0","bin91.log"
"May 07 2010","2455325","294926401","3.01","6.26e-8","0","0","0","66.38","1e-8","0","bin92.log"
"May 14 2010","2455332","295531201","6.99","5.16e-8","2.64e-8","-2.05","0","73.31","1e-8","0","bin93.log"
"May 21 2010","2455339","296136001","2.23","7.57e-8","0","0","0","80.33","1e-8","0","bin94.log"
"May 28 2010","2455346","296740801","7.3","4.97e-8","2.45e-8","-2.05","0","87.41","1e-8","0","bin95.log"
"Jun 04 2010","2455353","297345601","12.88","6.76e-8","2.82e-8","-2.05","0","94.53","1e-8","0","bin96.log"
"Jun 11 2010","2455360","297950401","8.04","3.65e-8","2.04e-8","-2.05","0","101.67","1e-8","0","bin97.log"
"Jun 18 2010","2455367","298555201","14.99","6.45e-8","2.62e-8","-2.05","0","108.81","1e-8","0","bin98.log"
"Jun 25 2010","2455374","299160001","36.23","1.12e-7","3.04e-8","-2.05","0","115.94","1e-8","0","bin99.log"
"Jul 02 2010","2455381","299764801","12.3","6.48e-8","2.93e-8","-2.05","0","123.04","1e-8","0","bin100.log"
"Jul 09 2010","2455388","300369601","6.46","3.20e-8","2.07e-8","-2.05","0","130.09","1e-8","0","bin101.log"
"Jul 16 2010","2455395","300974401","32.33","1.26e-7","3.48e-8","-2.05","0","137.11","1e-8","0","bin102.log"
"Jul 23 2010","2455402","301579201","3.7","9.70e-8","0","0","0","144.07","1e-8","0","bin103.log"
"Jul 30 2010","2455409","302184001","30.23","1.16e-7","3.37e-8","-2.05","0","150.99","1e-8","0","bin104.log"
"Aug 06 2010","2455416","302788801","11.92","6.61e-8","2.67e-8","-2.05","0","157.86","1e-8","0","bin105.log"
"Aug 13 2010","2455423","303393601","1.02","5.98e-8","0","0","0","164.68","1e-8","0","bin106.log"
"Aug 20 2010","2455430","303998401","0.84","8.31e-8","0","0","0","171.40","1e-8","0","bin107.log"
"Aug 27 2010","2455437","304603201","25.47","1.09e-7","3.31e-8","-2.05","0","177.32","1e-8","0","bin108.log"
"Sep 03 2010","2455443","305208001","0","4.68e-8","0","0","0","174.19","1e-8","0","bin109.log"
"Sep 10 2010","2455450","305812801","20.75","9.38e-8","3.14e-8","-2.05","0","167.60","1e-8","0","bin110.log"
"Sep 17 2010","2455457","306417601","35.38","1.66e-7","3.90e-8","-2.05","0","160.83","1e-8","0","bin111.log"
"Sep 24 2010","2455464","307022401","108.88","2.77e-7","4.60e-8","-2.05","0","154.00","1e-8","0","bin112.log"
"Oct 01 2010","2455471","307627201","39.23","1.35e-7","3.40e-8","-2.05","0","147.14","1e-8","0","bin113.log"
"Oct 08 2010","2455478","308232001","10.86","6.37e-8","2.80e-8","-2.05","0","140.26","1e-8","0","bin114.log"
"Oct 15 2010","2455485","308836801","4.3","5.72e-8","3.29e-8","-2.05","0","133.36","1e-8","0","bin115.log"
"Oct 22 2010","2455492","309441601","39.06","1.20e-7","2.96e-8","-2.05","0","126.44","1e-8","0","bin116.log"
"Oct 29 2010","2455499","310046401","8.39","6.77e-8","2.89e-8","-2.05","0","119.52","1e-8","0","bin117.log"
"Nov 05 2010","2455506","310651201","23.69","6.98e-8","2.45e-8","-2.05","0","112.61","1e-8","0","bin118.log"
"Nov 12 2010","2455513","311256001","7.8","3.55e-8","1.99e-8","-2.05","0","105.71","1e-8","0","bin119.log"
"Nov 19 2010","2455520","311860801","1.93","6.69e-8","0","0","0","98.86","1e-8","0","bin120.log"
"Nov 26 2010","2455527","312465601","4.51","3.42e-8","2.30e-8","-2.05","0","92.07","1e-8","0","bin121.log"
"Dec 03 2010","2455534","313070401","11.3","3.61e-8","2.16e-8","-2.05","0","85.36","1e-8","0","bin122.log"
"Dec 10 2010","2455541","313675201","3.76","7.54e-8","0","0","0","78.74","1e-8","0","bin123.log"
"Dec 17 2010","2455548","314280001","16.67","9.03e-8","3.45e-8","-2.05","0","72.25","1e-8","0","bin124.log"
"Dec 24 2010","2455555","314884801","6.8","4.46e-8","2.45e-8","-2.05","0","65.88","1e-8","0","bin125.log"
"Dec 31 2010","2455562","315489601","13.8","8.64e-8","3.46e-8","-2.05","0","59.64","1e-8","0","bin126.log"
"Jan 07 2011","2455569","316094401","18.48","9.15e-8","3.35e-8","-2.05","0","53.55","1e-8","0","bin127.log"
"Jan 14 2011","2455576","316699201","26.34","1.21e-7","3.63e-8","-2.05","0","47.61","1e-8","0","bin128.log"
"Jan 21 2011","2455583","317304001","3.15","8.01e-8","0","0","0","41.84","1e-8","0","bin129.log"
"Jan 28 2011","2455590","317908801","6.29","4.44e-8","2.46e-8","-2.05","0","36.28","1e-8","0","bin130.log"
"Feb 04 2011","2455596","318513601","9.91","6.52e-8","2.76e-8","-2.05","0","31.00","1e-8","0","bin131.log"
"Feb 11 2011","2455603","319118401","0.42","7.96e-8","0","0","0","26.18","1e-8","0","bin132.log"
"Feb 18 2011","2455610","319723201","27.44","8.13e-8","2.90e-8","-2.05","0","22.12","1e-8","0","bin133.log"
"Feb 25 2011","2455617","320328001","29.48","1.25e-7","3.70e-8","-2.05","0","19.34","1e-8","0","bin134.log"
"Mar 04 2011","2455627","320932801","36.54","1.26e-7","3.39e-8","-2.05","0","18.49","1e-8","0","bin135.log"
"Mar 11 2011","2455634","321537601","28.07","1.12e-7","3.17e-8","-2.05","0","19.88","1e-8","0","bin136.log"
"Mar 18 2011","2455641","322142401","14.98","5.61e-8","2.37e-8","-2.05","0","23.16","1e-8","0","bin137.log"
"Mar 25 2011","2455648","322747201","7.42","4.04e-8","1.85e-8","-2.05","0","27.74","1e-8","0","bin138.log"
"Apr 01 2011","2455654","323352001","10.04","4.98e-8","2.33e-8","-2.05","0","33.11","1e-8","0","bin139.log"
"Apr 08 2011","2455661","323956801","4.3","3.78e-8","2.31e-8","-2.05","0","38.99","1e-8","0","bin140.log"
"Apr 15 2011","2455668","324561601","4.67","7.11e-8","4.03e-8","-2.05","0","45.22","1e-8","0","bin141.log"
"Apr 22 2011","2455675","325166401","28.04","1.24e-7","3.41e-8","-2.05","0","51.70","1e-8","0","bin142.log"
"Apr 29 2011","2455682","325771201","351.28","5.16e-7","5.10e-8","-2.05","0","58.36","1e-8","0","bin143.log"
"May 06 2011","2455689","326376001","114.38","2.36e-7","3.80e-8","-2.05","0","65.16","1e-8","0","bin144.log"
"May 13 2011","2455696","326980801","282.51","4.59e-7","4.80e-8","-2.05","0","72.08","1e-8","0","bin145.log"
"May 20 2011","2455703","327585601","249.49","4.33e-7","4.50e-8","-2.05","0","79.08","1e-8","0","bin146.log"
"May 27 2011","2455710","328190401","178.34","3.06e-7","3.90e-8","-2.05","0","86.15","1e-8","0","bin147.log"
"Jun 03 2011","2455717","328795201","419.04","5.98e-7","5.10e-8","-2.05","0","93.26","1e-8","0","bin148.log"
"Jun 10 2011","2455724","329400001","1524.64","1.63e-6","8.00e-8","-2.05","0","100.40","1e-8","0","bin149.log"
"Jun 17 2011","2455731","330004801","156.22","3.04e-7","4.20e-8","-2.05","0","107.55","1e-8","0","bin150.log"
"Jun 24 2011","2455738","330609601","50.98","1.78e-7","3.70e-8","-2.05","0","114.68","1e-8","0","bin151.log"
"Jul 01 2011","2455745","331214401","23.54","1.22e-7","3.49e-8","-2.05","0","121.78","1e-8","0","bin152.log"
"Jul 08 2011","2455752","331819201","57.13","1.89e-7","3.60e-8","-2.05","0","128.85","1e-8","0","bin153.log"
"Jul 15 2011","2455759","332424001","91.61","2.28e-7","3.60e-8","-2.05","0","135.87","1e-8","0","bin154.log"
"Jul 22 2011","2455766","333028801","52.27","1.78e-7","3.60e-8","-2.05","0","142.84","1e-8","0","bin155.log"
"Jul 29 2011","2455773","333633601","48.16","1.84e-7","4.20e-8","-2.05","0","149.77","1e-8","0","bin156.log"
"Aug 05 2011","2455780","334238401","61.09","1.95e-7","3.80e-8","-2.05","0","156.65","1e-8","0","bin157.log"
"Aug 12 2011","2455787","334843201","99.93","2.73e-7","4.50e-8","-2.05","0","163.48","1e-8","0","bin158.log"
"Aug 19 2011","2455794","335448001","168.72","3.53e-7","4.70e-8","-2.05","0","170.22","1e-8","0","bin159.log"
"Aug 26 2011","2455801","336052801","114.98","3.25e-7","4.80e-8","-2.05","0","176.51","1e-8","0","bin160.log"
"Sep 02 2011","2455807","336657601","77.27","3.00e-7","5.40e-8","-2.05","0","175.29","1e-8","0","bin161.log"
"Sep 09 2011","2455814","337262401","78.35","2.99e-7","6.00e-8","-2.05","0","168.79","1e-8","0","bin162.log"
"Sep 16 2011","2455821","337867201","31.7","1.41e-7","3.60e-8","-2.05","0","162.04","1e-8","0","bin163.log"
"Sep 23 2011","2455828","338472001","7.71","6.96e-8","3.25e-8","-2.05","0","155.22","1e-8","0","bin164.log"
"Sep 30 2011","2455835","339076801","58.14","1.75e-7","3.60e-8","-2.05","0","148.36","1e-8","0","bin165.log"
"Oct 07 2011","2455843","339681601","43.07","1.39e-7","3.30e-8","-2.05","0","141.48","1e-8","0","bin166.log"
"Oct 14 2011","2455850","340286401","54.88","1.58e-7","3.40e-8","-2.05","0","134.58","1e-8","0","bin167.log"
"Oct 21 2011","2455857","340891201","48.94","1.67e-7","4.10e-8","-2.05","0","127.67","1e-8","0","bin168.log"
"Oct 28 2011","2455864","341496001","33.2","1.13e-7","3.40e-8","-2.05","0","120.75","1e-8","0","bin169.log"
"Nov 04 2011","2455870","342100801","58.71","1.85e-7","3.90e-8","-2.05","0","113.83","1e-8","0","bin170.log"
"Nov 11 2011","2455877","342705601","45.05","1.56e-7","3.60e-8","-2.05","0","106.94","1e-8","0","bin171.log"
"Nov 18 2011","2455884","343310401","20.96","1.11e-7","3.48e-8","-2.05","0","100.08","1e-8","0","bin172.log"
"Nov 25 2011","2455891","343915201","105.33","2.56e-7","4.10e-8","-2.05","0","93.27","1e-8","0","bin173.log"
"Dec 02 2011","2455899","344520001","86.05","2.20e-7","3.90e-8","-2.05","0","86.54","1e-8","0","bin174.log"
"Dec 09 2011","2455906","345124801","28.67","1.33e-7","3.49e-8","-2.05","0","79.91","1e-8","0","bin175.log"
"Dec 16 2011","2455913","345729601","14.12","9.35e-8","3.22e-8","-2.05","0","73.39","1e-8","0","bin176.log"
"Dec 23 2011","2455920","346334401","24.65","1.05e-7","2.94e-8","-2.05","0","67.00","1e-8","0","bin177.log"
"Dec 30 2011","2455927","346939201","13.89","9.70e-8","3.49e-8","-2.05","0","60.74","1e-8","0","bin178.log"
