"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 08 2008","2454687","239889601","138.65","2.67e-7","4.00e-8","-2.2","0","58.82","1e-8","0","bin1.log"
"Aug 15 2008","2454694","240494401","138.6","2.44e-7","3.60e-8","-2.2","0","52.13","1e-8","0","bin2.log"
"Aug 22 2008","2454701","241099201","333.76","4.48e-7","4.50e-8","-2.2","0","45.40","1e-8","0","bin3.log"
"Aug 29 2008","2454708","241704001","384.34","3.81e-7","3.70e-8","-2.2","0","38.65","1e-8","0","bin4.log"
"Sep 05 2008","2454715","242308801","193.45","2.84e-7","3.60e-8","-2.2","0","31.87","1e-8","0","bin5.log"
"Sep 12 2008","2454722","242913601","188.5","3.01e-7","3.70e-8","-2.2","0","25.07","1e-8","0","bin6.log"
"Sep 19 2008","2454729","243518401","73.51","1.69e-7","3.30e-8","-2.2","0","18.25","1e-8","0","bin7.log"
"Sep 26 2008","2454736","244123201","89.62","2.36e-7","4.00e-8","-2.2","0","11.40","1e-8","0","bin8.log"
"Oct 03 2008","2454743","244728001","40.44","1.73e-7","4.20e-8","-2.2","0","4.52","1e-8","0","bin9.log"
"Oct 10 2008","2454750","245332801","296.3","4.78e-7","5.00e-8","-2.2","0","2.40","1e-8","0","bin10.log"
"Oct 17 2008","2454757","245937601","152.69","2.56e-7","3.40e-8","-2.2","0","9.33","1e-8","0","bin11.log"
"Oct 24 2008","2454764","246542401","221.2","3.12e-7","3.60e-8","-2.2","0","16.30","1e-8","0","bin12.log"
"Oct 31 2008","2454771","247147201","224.68","2.73e-7","3.40e-8","-2.2","0","23.31","1e-8","0","bin13.log"
"Nov 07 2008","2454777","247752001","309.52","4.26e-7","4.20e-8","-2.2","0","30.37","1e-8","0","bin14.log"
"Nov 14 2008","2454784","248356801","730.35","7.95e-7","5.40e-8","-2.2","0","37.48","1e-8","0","bin15.log"
"Nov 21 2008","2454791","248961601","1413.98","1.46e-6","8.00e-8","-2.2","0","44.65","1e-8","0","bin16.log"
"Nov 28 2008","2454798","249566401","2043.95","1.80e-6","8.00e-8","-2.2","0","51.87","1e-8","0","bin17.log"
"Dec 05 2008","2454806","250171201","2203.99","1.54e-6","7.00e-8","-2.2","0","59.14","1e-8","0","bin18.log"
"Dec 12 2008","2454813","250776001","1211.96","9.92e-7","5.70e-8","-2.2","0","66.47","1e-8","0","bin19.log"
