"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Jul 24 2009","2455038","270129601","285.5","2.58e-7","3.20e-8","-1.99","0","26.05","1e-8","0","bin51.log"
"Jul 31 2009","2455045","270734401","668.76","4.18e-7","3.50e-8","-1.99","0","32.24","1e-8","0","bin52.log"
"Aug 07 2009","2455051","271339201","428.18","3.26e-7","3.30e-8","-1.99","0","38.75","1e-8","0","bin53.log"
"Aug 14 2009","2455058","271944001","486.47","3.47e-7","3.20e-8","-1.99","0","45.41","1e-8","0","bin54.log"
"Aug 21 2009","2455065","272548801","375.04","3.34e-7","3.60e-8","-1.99","0","52.14","1e-8","0","bin55.log"
"Aug 28 2009","2455072","273153601","363.28","3.50e-7","3.70e-8","-1.99","0","58.91","1e-8","0","bin56.log"
"Sep 04 2009","2455079","273758401","233.4","2.28e-7","2.90e-8","-1.99","0","65.69","1e-8","0","bin57.log"
"Sep 11 2009","2455086","274363201","234.91","1.98e-7","2.60e-8","-1.99","0","72.48","1e-8","0","bin58.log"
"Sep 18 2009","2455093","274968001","253.73","2.26e-7","2.80e-8","-1.99","0","79.29","1e-8","0","bin59.log"
"Sep 25 2009","2455100","275572801","242.65","1.99e-7","2.60e-8","-1.99","0","86.12","1e-8","0","bin60.log"
"Oct 02 2009","2455107","276177601","747.41","4.21e-7","3.40e-8","-1.99","0","92.98","1e-8","0","bin61.log"
"Oct 09 2009","2455114","276782401","636.75","4.17e-7","3.60e-8","-1.99","0","99.88","1e-8","0","bin62.log"
"Oct 16 2009","2455121","277387201","209.47","2.21e-7","2.90e-8","-1.99","0","106.81","1e-8","0","bin63.log"
"Oct 23 2009","2455128","277992001","258.44","2.41e-7","3.00e-8","-1.99","0","113.78","1e-8","0","bin64.log"
"Oct 30 2009","2455135","278596801","233.01","1.93e-7","2.60e-8","-1.99","0","120.77","1e-8","0","bin65.log"
"Nov 06 2009","2455142","279201601","86.11","1.06e-7","2.02e-8","-1.99","0","127.74","1e-8","0","bin66.log"
"Nov 13 2009","2455149","279806401","8.57","4.42e-8","1.89e-8","-1.99","0","134.64","1e-8","0","bin67.log"
