Source_Name,GLON,GLAT,Flux1000,Unc_Flux1000,PL_Index,Unc_PL_Index,CLASS,Redshift,SED_class,nu_syn,nuFnu_syn
4FGL J2040.1-4621,353.74606,-37.63069,1.9569564e-10,3.4257135e-11,1.757257,0.107777,bcu,-inf,,0.0,0.0
4FGL J2040.2-7115,323.14536,-34.23009,4.1909085e-10,3.9433828e-11,1.7119266,0.060560554,bll,0.161769,,0.0,0.0
4FGL J2040.2-2506,19.732859,-34.196915,2.074708e-10,3.6440146e-11,2.4552956,0.12351739,fsrq,1.574,,0.0,0.0
4FGL J2040.5-1705,28.771372,-31.591946,4.11319e-10,4.5089325e-11,2.5412178,0.075045615,bcu,-inf,LSP,4168693800000.0,2.3887131e-13
4FGL J2041.8-7319,320.7329,-33.7194,2.1895663e-10,3.475766e-11,1.8715268,0.108049825,bll,-inf,HSP,6456542000000000.0,1.7308483e-12
4FGL J2041.9-3735,4.803713,-37.23536,2.9036368e-10,4.0573284e-11,1.9651462,0.10225426,bll,0.098555,HSP,5.7543993e+16,3.269648e-12
4FGL J2042.1+2427,67.77999,-10.80682,4.9183174e-10,5.2953256e-11,1.9133356,0.07280004,bll,0.104,HSP,6.025596e+17,3.9678386e-12
4FGL J2042.6+1629,61.231667,-15.58361,2.097531e-10,4.5314617e-11,1.952163,0.1408076,bcu,-inf,,0.0,0.0
4FGL J2042.7-5415,343.7553,-37.785988,3.3648254e-10,4.6922292e-11,2.2622461,0.101701885,bcu,-inf,,0.0,0.0
4FGL J2042.7-0155,44.625507,-25.50552,2.038706e-10,3.9884086e-11,2.314594,0.13796148,bcu,-inf,,0.0,0.0
4FGL J2043.7+0000,46.611267,-24.758228,2.7757027e-10,4.0398494e-11,2.270394,0.10631687,bll,-inf,,0.0,0.0
4FGL J2044.0+1036,56.341835,-19.18796,2.0202201e-10,4.135313e-11,2.179696,0.15662333,bcu,-inf,ISP,192752500000000.0,8.25382e-13
4FGL J2045.1-2346,21.671547,-34.85447,2.6790492e-10,3.810709e-11,2.0192695,0.1035875,bcu,-inf,ISP,398107160000000.0,1.3819426e-12
4FGL J2046.6-1012,36.82455,-30.1918,2.1214523e-10,3.8906087e-11,1.9485784,0.12967062,bll,-inf,HSP,1000000000000000.0,2.0115877e-12
4FGL J2046.8-4258,358.1209,-38.69227,1.9754816e-10,3.495795e-11,2.1344414,0.12231342,bll,-inf,,0.0,0.0
4FGL J2047.1-7400,319.81482,-33.845352,1.1364579e-10,3.0024056e-11,2.6502583,0.17840321,fsrq,0.526,LSP,18407720000000.0,2.425923e-12
4FGL J2047.9-3122,12.763721,-37.387333,2.6258754e-10,4.0803354e-11,2.04513,0.1071401,bcu,-inf,,0.0,0.0
4FGL J2048.6-6804,326.61984,-35.84941,3.4364778e-10,3.8284265e-11,2.1672108,0.08315539,bll,-inf,ISP,398107160000000.0,2.5928775e-12
4FGL J2049.0+1647,62.404034,-16.650513,2.306991e-10,4.252022e-11,2.217257,0.1342041,bcu,-inf,,0.0,0.0
4FGL J2049.7-0036,46.854065,-26.378036,5.2816057e-11,2.751257e-11,1.5354745,0.22958796,bll,0.25,,0.0,0.0
4FGL J2049.9+1002,56.705322,-20.70881,8.648557e-10,6.337194e-11,2.5030174,0.045928393,bll,-inf,LSP,1148153600000.0,1.0432107e-12
4FGL J2049.9-2453,20.76304,-36.224308,1.5236497e-10,3.4468706e-11,2.3468466,0.17035358,bcu,-inf,ISP,272270120000000.0,5.655318e-13
4FGL J2050.0+0408,51.390198,-23.974163,7.390897e-10,5.5577508e-11,2.2859023,0.054004025,bll,-inf,LSP,20417380000000.0,1.9924756e-12
4FGL J2050.4-2627,18.911219,-36.767647,5.7197863e-10,5.482314e-11,2.2193902,0.06588013,fsrq,1.633,LSP,6531305700000.0,1.1141689e-12
4FGL J2052.2-5533,341.8968,-38.998287,1.089803e-09,5.6638874e-11,2.301251,0.035696555,bcu,-inf,,0.0,0.0
4FGL J2052.5+0810,55.427185,-22.283302,4.7231025e-11,2.2369388e-11,1.492322,0.21022868,bll,-inf,,0.0,0.0
4FGL J2054.0+7024,105.45197,16.103086,1.5158996e-10,3.8472985e-11,2.2369728,0.17260492,bcu,-inf,LSP,42169650000000.0,2.1473162e-13
4FGL J2054.8+0015,48.423935,-27.034742,2.3570085e-10,4.5012116e-11,1.8172979,0.12192829,bll,0.151,LSP,6237348400000.0,4.5336085e-13
4FGL J2055.4-0020,47.92166,-27.450445,3.2404518e-10,4.7285946e-11,1.8420897,0.09475214,bll,0.44,HSP,4.570882e+17,6.4251608e-12
4FGL J2055.4-0504,43.23247,-29.808355,1.638113e-10,3.5264746e-11,2.2646577,0.15314808,bll,0.342,ISP,301995160000000.0,8.067686e-13
4FGL J2055.8+1545,62.534397,-18.57836,2.247886e-10,4.223086e-11,2.3969536,0.12379859,bcu,1.112,,0.0,0.0
4FGL J2056.2-4714,352.60315,-40.383987,4.660291e-09,1.06264005e-10,2.4534748,0.012663396,fsrq,1.489,LSP,4497798600000.0,8.423198e-12
4FGL J2056.4-4904,350.19595,-40.322487,1.1520487e-10,3.0407447e-11,2.6965547,0.17533563,bcu,-inf,,0.0,0.0
4FGL J2056.5-0202,46.429924,-28.55752,3.74485e-10,4.5523883e-11,2.5173972,0.07538552,bcu,-inf,LSP,24547089000000.0,1.7786849e-13
4FGL J2056.7-3209,12.244465,-39.371586,1.622086e-10,3.7239177e-11,2.6068685,0.13720405,bll,-inf,LSP,4786301000000.0,1.7773543e-12
